key,description,attached to,status,suggested key
natural-science.biology.zoology.entomology,Study of insects and insect biology.,Biology|0,valid,
natural-science.biology.zoology.entomology.forensic-entomology,Study of insects in forensic investigations.,Biology|0,valid,
natural-science.biology.zoology.ethnozoology,Study of human relationships with animals in culture.,Biology|0,valid,
natural-science.biology.zoology.ethology,Study of animal behavior.,Biology|0,valid,
natural-science.biology.zoology.helminthology,Study of parasitic worms.,Biology|0,valid,
natural-science.biology.zoology.herpetology,Study of reptiles and amphibians.,Biology|0,valid,
natural-science.biology.zoology.ichthyology,Study of fish and fish biology.,Biology|0,valid,
natural-science.biology.zoology.invertebrate-zoology,Study of invertebrate animals.,Biology|0,valid,
natural-science.biology.zoology.mammalogy,Study of mammals and mammalian biology.,Biology|0,valid,
natural-science.biology.zoology.mammalogy.cynology,Study of dogs and canine biology.,Biology|0,valid,
natural-science.biology.zoology.mammalogy.felinology,Study of cats and feline biology.,Biology|0,valid,
natural-science.biology.zoology.malacology,Study of mollusks and their biology.,Biology|0,valid,
natural-science.biology.zoology.malacology.conchology,Study of mollusk shells.,Biology|0,valid,
natural-science.biology.zoology.malacology.limacology,Study of slugs and their biology.,Biology|0,valid,
natural-science.biology.zoology.malacology.teuthology,Study of cephalopods such as squids.,Biology|0,valid,
natural-science.biology.zoology.myriapodology,Study of myriapods such as centipedes.,Biology|0,valid,
natural-science.biology.zoology.myrmecology,Study of ants and ant societies.,Biology|0,valid,
natural-science.biology.zoology.nematology,Study of nematodes and roundworms.,Biology|0,valid,
natural-science.biology.zoology.neuroethology,Study of neural basis of animal behavior.,Biology|0,valid,
natural-science.biology.zoology.oology,Study of eggs and egg biology.,Biology|0,valid,
natural-science.biology.zoology.ornithology,Study of birds and avian biology.,Biology|0,valid,
natural-science.biology.zoology.planktology,Study of plankton and planktonic organisms.,Biology|0,valid,
natural-science.biology.zoology.primatology,Study of primates and primate behavior.,Biology|0,valid,
natural-science.biology.zoology.zootomy,Study of animal anatomy.,Biology|0,valid,
natural-science.biology.zoology.zoosemiotics,Study of animal communication and signs.,Biology|0,valid,
natural-science.biology.agriculture,Study of cultivation of crops and livestock.,Biology|0,valid,
natural-science.biology.agriculture.aeroponics,Study of growing plants in air or mist environments.,Biology|0,valid,
natural-science.biology.agriculture.aeroponics.fogponics,Study of using fine mist for aeroponic cultivation.,Biology|0,valid,
natural-science.biology.agriculture.agrology,Study of soils in agricultural contexts.,Earth science|1,valid,
natural-science.biology.agriculture.agronomy,Study of crop production and soil management.,Biology|0,valid,
natural-science.biology.agriculture.animal-husbandry-animal-science,Study of breeding and care of animals.,Biology|0,valid,
natural-science.biology.agriculture.animal-husbandry-animal-science.beekeeping-apiculture,Study of beekeeping and bee management.,Biology|0,valid,
natural-science.biology.agriculture.anthroponics,Study of human focused soilless cultivation systems.,Biology|0,valid,
natural-science.biology.agriculture.agricultural-engineering,Study of engineering applied to agriculture.,Biology|0,valid,
natural-science.biology.agriculture.aquaculture,Study of cultivating aquatic organisms.,Biology|0,valid,
natural-science.biology.agriculture.aquaponics,Study of integrated fish and plant cultivation systems.,Biology|0,valid,
natural-science.biology.agriculture.enology,Study of wine and winemaking.,Chemistry|1,valid,
natural-science.biology.agriculture.food-science,Study of food composition processing and safety.,Biology|0,valid,
natural-science.biology.agriculture.food-science.culinary-arts,Study of culinary techniques and food preparation.,Biology|0,valid,
natural-science.biology.agriculture.forestry,Study of forest management and ecology.,Biology|0,valid,
natural-science.biology.agriculture.horticulture,Study of garden and crop cultivation.,Biology|0,valid,
natural-science.biology.agriculture.hydrology,Study of water in agricultural systems.,Earth science|1,valid,
natural-science.biology.agriculture.hydroponics,Study of growing plants in nutrient solutions.,Biology|0,valid,
natural-science.biology.agriculture.pedology,Study of soils in relation to agriculture.,Earth science|1,valid,
natural-science.biology.agriculture.plant-science,Study of plant biology and crop science.,Biology|0,valid,
natural-science.biology.agriculture.plant-science.pomology,Study of fruit cultivation and production.,Biology|0,valid,
natural-science.biology.agriculture.pest-control,Study of managing pests in agriculture.,Biology|0,valid,
natural-science.biology.agriculture.purification,Study of purification processes in agricultural systems.,Chemistry|1,valid,
natural-science.biology.agriculture.urban-agriculture,Study of farming practices in urban environments.,Biology|0,valid,
natural-science.biology.agriculture.viticulture,Study of grape cultivation and vineyard management.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation,Study of human movement performance and recreation.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.biomechanics-sports-biomechanics,Study of mechanics of movement and sports performance.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.sports-coaching,Study of coaching methods and athletic training.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.escapology,Study of escape performance and physical skill.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.game-design,Study of designing physical and recreational games.,Psychology|1,valid,
natural-science.biology.human-physical-performance-and-recreation.outdoor-activity,Study of outdoor activities and recreation.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.physical-activity,Study of physical activity and movement behavior.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.physical-education-pedagogy,Study of teaching physical education and movement.,Psychology|1,valid,
natural-science.biology.human-physical-performance-and-recreation.sports-exercise,Study of sports and exercise practices.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.sport-management,Study of management of sports organizations and events.,Economics|1,valid,
natural-science.biology.human-physical-performance-and-recreation.sport-management.athletic-director,Study of athletic program leadership and administration.,Economics|1,valid,
natural-science.biology.human-physical-performance-and-recreation.sports-medicine,Study of medical care related to sports and exercise.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.sports-medicine.athletic-training,Study of prevention and treatment of athletic injuries.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.survival-skills,Study of survival skills and practices in nature.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.survival-skills.batoning,Study of batoning techniques for wood processing.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.survival-skills.bushcraft,Study of bushcraft and wilderness skills.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.survival-skills.scoutcraft,Study of scouting skills and outdoor methods.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.survival-skills.woodcraft,Study of woodcraft and outdoor living skills.,Biology|0,valid,
natural-science.biology.human-physical-performance-and-recreation.toy-and-amusement-design,Study of designing toys and recreational amusements.,Psychology|1,valid,
natural-science.biology.medicine-and-health,Study of medicine healthcare and human health.,Biology|0,valid,
natural-science.biology.medicine-and-health.alternative-medicine,Study of nonconventional medical practices.,Biology|0,valid,
natural-science.biology.medicine-and-health.audiology,Study of hearing balance and auditory disorders.,Biology|0,valid,
natural-science.biology.medicine-and-health.clinical-laboratory-sciences-clinical-pathology-laboratory-medicine,Study of laboratory diagnostics and clinical pathology.,Biology|0,valid,
natural-science.biology.medicine-and-health.clinical-laboratory-sciences-clinical-pathology-laboratory-medicine.clinical-biochemistry,Study of biochemical analysis in clinical diagnostics.,Biology|0,valid,
